keyword_ascii,scholar_query_ascii,google_scholar_url_ascii,formal_branch,formal_scope,field,subfield,sub_subfield,node_level,source_tag,source_code,source_title
Combinatory logic and lambda calculus,Combinatory logic and lambda calculus General logic Mathematical logic and foundations 03B40 MSC2020,https://scholar.google.com/scholar?q=Combinatory%20logic%20and%20lambda%20calculus%20General%20logic%20Mathematical%20logic%20and%20foundations%2003B40%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,General logic,Combinatory logic and lambda calculus [See also 68N18],sub_subfield,MSC2020:03B40,03B40,Combinatory logic and lambda calculus [See also 68N18]
Logics of knowledge and belief (including belief change),Logics of knowledge and belief (including belief change) General logic Mathematical logic and foundations 03B42 MSC2020,https://scholar.google.com/scholar?q=Logics%20of%20knowledge%20and%20belief%20(including%20belief%20change)%20General%20logic%20Mathematical%20logic%20and%20foundations%2003B42%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,General logic,Logics of knowledge and belief (including belief change),sub_subfield,MSC2020:03B42,03B42,Logics of knowledge and belief (including belief change)
Temporal logic,Temporal logic General logic Mathematical logic and foundations 03B44 MSC2020,https://scholar.google.com/scholar?q=Temporal%20logic%20General%20logic%20Mathematical%20logic%20and%20foundations%2003B44%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,General logic,Temporal logic,sub_subfield,MSC2020:03B44,03B44,Temporal logic
Modal logic (including the logic of norms),Modal logic (including the logic of norms) General logic Mathematical logic and foundations 03B45 MSC2020,https://scholar.google.com/scholar?q=Modal%20logic%20(including%20the%20logic%20of%20norms)%20General%20logic%20Mathematical%20logic%20and%20foundations%2003B45%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,General logic,"Modal logic (including the logic of norms) {For knowledge and belief, see 03B42; for temporal logic, see 03B44; for provability logic, see also 03F45}",sub_subfield,MSC2020:03B45,03B45,"Modal logic (including the logic of norms) {For knowledge and belief, see 03B42; for temporal logic, see 03B44; for provability logic, see also 03F45}"
"Substructural logics (including relevance, entailment, linear logic, Lambek calculus, BCK and BCI logics)","Substructural logics (including relevance, entailment, linear logic, Lambek calculus, BCK and BCI logics) General logic Mathematical logic and foundations 03B47 MSC2020",https://scholar.google.com/scholar?q=Substructural%20logics%20(including%20relevance%2C%20entailment%2C%20linear%20logic%2C%20Lambek%20calculus%2C%20BCK%20and%20BCI%20logics)%20General%20logic%20Mathematical%20logic%20and%20foundations%2003B47%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,General logic,"Substructural logics (including relevance, entailment, linear logic, Lambek calculus, BCK and BCI logics) {For proof-theoretic aspects, see 03F52}",sub_subfield,MSC2020:03B47,03B47,"Substructural logics (including relevance, entailment, linear logic, Lambek calculus, BCK and BCI logics) {For proof-theoretic aspects, see 03F52}"
Probability and inductive logic,Probability and inductive logic General logic Mathematical logic and foundations 03B48 MSC2020,https://scholar.google.com/scholar?q=Probability%20and%20inductive%20logic%20General%20logic%20Mathematical%20logic%20and%20foundations%2003B48%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,General logic,Probability and inductive logic [See also 60A05],sub_subfield,MSC2020:03B48,03B48,Probability and inductive logic [See also 60A05]
Many-valued logic,Many-valued logic General logic Mathematical logic and foundations 03B50 MSC2020,https://scholar.google.com/scholar?q=Many-valued%20logic%20General%20logic%20Mathematical%20logic%20and%20foundations%2003B50%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,General logic,Many-valued logic,sub_subfield,MSC2020:03B50,03B50,Many-valued logic
Fuzzy logic; logic of vagueness,Fuzzy logic; logic of vagueness General logic Mathematical logic and foundations 03B52 MSC2020,https://scholar.google.com/scholar?q=Fuzzy%20logic%3B%20logic%20of%20vagueness%20General%20logic%20Mathematical%20logic%20and%20foundations%2003B52%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,General logic,"Fuzzy logic; logic of vagueness [See also 68T27, 68T37, 94D05]",sub_subfield,MSC2020:03B52,03B52,"Fuzzy logic; logic of vagueness [See also 68T27, 68T37, 94D05]"
Paraconsistent logics,Paraconsistent logics General logic Mathematical logic and foundations 03B53 MSC2020,https://scholar.google.com/scholar?q=Paraconsistent%20logics%20General%20logic%20Mathematical%20logic%20and%20foundations%2003B53%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,General logic,Paraconsistent logics,sub_subfield,MSC2020:03B53,03B53,Paraconsistent logics
Intermediate logics,Intermediate logics General logic Mathematical logic and foundations 03B55 MSC2020,https://scholar.google.com/scholar?q=Intermediate%20logics%20General%20logic%20Mathematical%20logic%20and%20foundations%2003B55%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,General logic,Intermediate logics,sub_subfield,MSC2020:03B55,03B55,Intermediate logics
Other nonclassical logic,Other nonclassical logic General logic Mathematical logic and foundations 03B60 MSC2020,https://scholar.google.com/scholar?q=Other%20nonclassical%20logic%20General%20logic%20Mathematical%20logic%20and%20foundations%2003B60%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,General logic,Other nonclassical logic,sub_subfield,MSC2020:03B60,03B60,Other nonclassical logic
Combined logics,Combined logics General logic Mathematical logic and foundations 03B62 MSC2020,https://scholar.google.com/scholar?q=Combined%20logics%20General%20logic%20Mathematical%20logic%20and%20foundations%2003B62%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,General logic,Combined logics,sub_subfield,MSC2020:03B62,03B62,Combined logics
Logic of natural languages,Logic of natural languages General logic Mathematical logic and foundations 03B65 MSC2020,https://scholar.google.com/scholar?q=Logic%20of%20natural%20languages%20General%20logic%20Mathematical%20logic%20and%20foundations%2003B65%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,General logic,"Logic of natural languages [See also 68T50, 91F20]",sub_subfield,MSC2020:03B65,03B65,"Logic of natural languages [See also 68T50, 91F20]"
Logic in computer science,Logic in computer science General logic Mathematical logic and foundations 03B70 MSC2020,https://scholar.google.com/scholar?q=Logic%20in%20computer%20science%20General%20logic%20Mathematical%20logic%20and%20foundations%2003B70%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,General logic,Logic in computer science [See also 68-XX],sub_subfield,MSC2020:03B70,03B70,Logic in computer science [See also 68-XX]
Other applications of logic,Other applications of logic General logic Mathematical logic and foundations 03B80 MSC2020,https://scholar.google.com/scholar?q=Other%20applications%20of%20logic%20General%20logic%20Mathematical%20logic%20and%20foundations%2003B80%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,General logic,Other applications of logic,sub_subfield,MSC2020:03B80,03B80,Other applications of logic
"None of the above, but in this section","None of the above, but in this section General logic Mathematical logic and foundations 03B99 MSC2020",https://scholar.google.com/scholar?q=None%20of%20the%20above%2C%20but%20in%20this%20section%20General%20logic%20Mathematical%20logic%20and%20foundations%2003B99%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,General logic,"None of the above, but in this section",sub_subfield,MSC2020:03B99,03B99,"None of the above, but in this section"
Model theory,Model theory Mathematical logic and foundations 03Cxx MSC2020,https://scholar.google.com/scholar?q=Model%20theory%20Mathematical%20logic%20and%20foundations%2003Cxx%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,Model theory,,subfield,MSC2020:03Cxx,03Cxx,Model theory
"Equational classes, universal algebra in model theory","Equational classes, universal algebra in model theory Model theory Mathematical logic and foundations 03C05 MSC2020",https://scholar.google.com/scholar?q=Equational%20classes%2C%20universal%20algebra%20in%20model%20theory%20Model%20theory%20Mathematical%20logic%20and%20foundations%2003C05%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,Model theory,"Equational classes, universal algebra in model theory [See also 08Axx, 08Bxx, 18C05]",sub_subfield,MSC2020:03C05,03C05,"Equational classes, universal algebra in model theory [See also 08Axx, 08Bxx, 18C05]"
